icao_address,mictronics_reg,adsbx_reg
C02BFB,C-FQRA,C-QRA
C02CEA,C-FRAF,C-RAF
C02D93,C-FRGS,C-RGS
C02E21,C-FRME,C-RME
C02E83,C-FRPY,C-RPY
C02F1E,C-FRVX,C-RVX
C03027,C-FSGC,C-SGC
C03056,C-FSHX,C-SHX
C03218,C-FSZF,C-SZF
C033E0,C-FTQT,C-TQT
C0346B,C-FTWC,C-TWC
C034B8,C-FTZB,C-TZB
C0351B,C-FUCW,C-UCW
C0379C,C-FVBN,C-VBN
C037A9,C-FVCA,C-VCA
C0386A,C-FVJL,C-VJL
C038A6,C-FVLT,C-VLT
C03C30,C-FWUP,C-WUP
C03F13,C-FXXA,C-XXA
C0415C,C-FYTN,C-YTN
C042B5,C-FZGU,C-ZGU
C042C6,C-FZHL,C-ZHL
C042EE,C-FZIZ,C-ZIZ
C04411,C-FZUE,C-ZUE
C003FE,C-FBNH,C-BNH
C005D3,C-FCFI,C-CFI
C00759,C-FCUI,C-CUI
C00873,C-FDFE,C-DFE
C0088F,C-FDGG,C-DGG
C00892,C-FDGJ,C-DGJ
C008D0,C-FDIT,C-DIT
C008E3,C-FDJM,C-DJM
C00AB8,C-FEBN,C-EBN
C00AD5,C-FECQ,C-ECQ
C00AE7,C-FEDI,C-EDI
C00B0C,C-FEET,C-EET
C00D87,C-FFDE,C-FDE
C00FC6,C-FFZH,C-FZH
C01045,C-FGEE,C-GEE
C0106F,C-FGFU,C-GFU
C010A4,C-FGHV,C-GHV
C0127B,C-FGZY,C-GZY
C012C2,C-FHCR,C-HCR
C01321,C-FHGI,C-HGI
C01364,C-FHIX,C-HIX
C014F7,C-FHYK,C-HYK
C016D9,C-FIQY,C-IQY
C017A2,C-FIYR,C-IYR
C01A38,C-FJYD,C-JYD
C01C8D,C-FKVC,C-KVC
C01DB5,C-FLGM,C-LGM
C01DD5,C-FLHS,C-LHS
C01F36,C-FLVH,C-LVH
C020A1,C-FMJG,C-MJG
C02171,C-FMRG,C-MRG
C021DF,C-FMVM,C-MVM
C022F7,C-FNGG,C-NGG
C0232C,C-FNIH,C-NIH
C0242E,C-FNSF,C-NSF
C025C8,C-FOHZ,C-OHZ
C02AF7,C-FQHA,C-QHA
C02C65,C-FQVC,C-QVC
C02CBC,C-FQYL,C-QYL
C02E35,C-FRMY,C-RMY
C02E51,C-FROA,C-ROA
C02F31,C-FRWQ,C-RWQ
C03134,C-FSQL,C-SQL
C0326F,C-FTCO,C-TCO
C0347C,C-FTWT,C-TWT
C034CB,C-FTZU,C-TZU
C0356D,C-FUGA,C-UGA
C03619,C-FUMQ,C-UMQ
C03623,C-FUNA,C-UNA
C036CC,C-FUTN,C-UTN
C03784,C-FVAP,C-VAP
C037FD,C-FVFG,C-VFG
C03827,C-FVGW,C-VGW
C03849,C-FVIE,C-VIE
C03856,C-FVIR,C-VIR
C03895,C-FVLC,C-VLC
C03908,C-FVPN,C-VPN
C0399A,C-FVVD,C-VVD
C03A3F,C-FWBM,C-WBM
C03A41,C-FWBO,C-WBO
C03A53,C-FWCG,C-WCG
C03B14,C-FWJR,C-WJR
C03BAF,C-FWPQ,C-WPQ
C03C6F,C-FWXA,C-WXA
C03D18,C-FXDN,C-XDN
C03D74,C-FXHB,C-XHB
C03D9E,C-FXIR,C-XIR
C03F68,C-FYAH,C-YAH
C03FDA,C-FYER,C-YER
C0403A,C-FYIJ,C-YIJ
C04073,C-FYKO,C-YKO
C0421C,C-FZAX,C-ZAX
C04270,C-FZED,C-ZED
C04288,C-FZFB,C-ZFB
C042A2,C-FZGB,C-ZGB
C042B4,C-FZGT,C-ZGT
C04338,C-FZLV,C-ZLV
C04445,C-FZWE,C-ZWE
C0444E,C-FZWN,C-ZWN
C04466,C-FZXL,C-ZXL
C00216,C-FAUN,C-AUN
C00268,C-FAXR,C-AXR
C00356,C-FBGV,C-BGV
C00569,C-FCBG,C-CBG
C0065D,C-FCKQ,C-CKQ
C0068B,C-FCMK,C-CMK
C006BB,C-FCOG,C-COG
C0082A,C-FDCJ,C-DCJ
C00854,C-FDDZ,C-DDZ
C00875,C-FDFG,C-DFG
C009A8,C-FDRB,C-DRB
C00A2E,C-FDWF,C-DWF
C00A48,C-FDXF,C-DXF
C00C76,C-FESR,C-ESR
C00DD8,C-FFGH,C-FGH
C00FCD,C-FFZO,C-FZO
C0105A,C-FGEZ,C-GEZ
C0109C,C-FGHN,C-GHN
C0112B,C-FGNA,C-GNA
C01199,C-FGRG,C-GRG
C011B4,C-FGSH,C-GSH
C012FB,C-FHEW,C-HEW
C0145C,C-FHSL,C-HSL
C0146F,C-FHTE,C-HTE
C01599,C-FIEQ,C-IEQ
C01984,C-FJRF,C-JRF
C01C71,C-FKUA,C-KUA
C01C7B,C-FKUK,C-KUK
C01CB5,C-FKWQ,C-KWQ
C01D0A,C-FKZX,C-KZX
C01E2F,C-FLLE,C-LLE
C01FF6,C-FMCR,C-MCR
C020D8,C-FMLJ,C-MLJ
C02131,C-FMOU,C-MOU
C02132,C-FMOV,C-MOV
C021D8,C-FMVF,C-MVF
C024AC,C-FNXB,C-NXB
C025D9,C-FOIQ,C-OIQ
C025EB,C-FOJI,C-OJI
C0273B,C-FOWG,C-OWG
C0279D,C-FPAA,C-PAA
C02C15,C-FQSA,C-QSA
C02D6D,C-FRFG,C-RFG
C02EF9,C-FRUM,C-RUM
C03183,C-FSTM,C-STM
C03252,C-FTBL,C-TBL
C0325E,C-FTBX,C-TBX
C0327D,C-FTDC,C-TDC
C0329C,C-FTEH,C-TEH
C03469,C-FTWA,C-TWA
C0365E,C-FUPH,C-UPH
C037C2,C-FVCZ,C-VCZ
C0381C,C-FVGL,C-VGL
C03872,C-FVJT,C-VJT
C03A7D,C-FWDW,C-WDW
C03A82,C-FWEB,C-WEB
C03ACB,C-FWGW,C-WGW
C03D4C,C-FXFN,C-XFN
C03DCA,C-FXKJ,C-XKJ
C03DE8,C-FXLN,C-XLN
C03ED6,C-FXUR,C-XUR
C03F04,C-FXWL,C-XWL
C0429B,C-FZFU,C-ZFU
C0434A,C-FZMN,C-ZMN
C000DD,C-FAIM,C-AIM
C002C4,C-FBBF,C-BBF
C0046F,C-FBRQ,C-BRQ
C005BF,C-FCEO,C-CEO
C00615,C-FCHW,C-CHW
C007D2,C-FCYZ,C-CYZ
C007E9,C-FCZW,C-CZW
C00916,C-FDLL,C-DLL
C00AE9,C-FEDK,C-EDK
C00BC7,C-FELY,C-ELY
C00E13,C-FFIO,C-FIO
C00F98,C-FFXN,C-FXN
C010A5,C-FGHW,C-GHW
C010B9,C-FGIQ,C-GIQ
C011FD,C-FGVC,C-GVC
C01211,C-FGVW,C-GVW
C0191F,C-FJNI,C-JNI
C01C44,C-FKSH,C-KSH
C01CDF,C-FKYG,C-KYG
C02012,C-FMDT,C-MDT
C024F6,C-FNZX,C-NZX
C0262D,C-FOLW,C-OLW
C02716,C-FOUV,C-OUV
C02847,C-FPGO,C-PGO
C029A8,C-FPUD,C-PUD
C02B05,C-FQHO,C-QHO
C02C6F,C-FQVM,C-QVM
C02C8E,C-FQWR,C-QWR
C02DD9,C-FRJK,C-RJK
C02E8A,C-FRQF,C-RQF
C02F85,C-FRZW,C-RZW
C02FF4,C-FSED,C-SED
C02FFA,C-FSEJ,C-SEJ
C03043,C-FSHE,C-SHE
C030F5,C-FSOA,C-SOA
C031A3,C-FSUS,C-SUS
C031DE,C-FSWZ,C-SWZ
C03209,C-FSYQ,C-SYQ
C03412,C-FTSR,C-TSR
C0342A,C-FTTP,C-TTP
C03679,C-FUQI,C-UQI
C036E2,C-FUUJ,C-UUJ
C038C5,C-FVMY,C-VMY
C03929,C-FVQU,C-VQU
C03AFE,C-FWIV,C-WIV
C03B6A,C-FWMZ,C-WMZ
C03B98,C-FWOT,C-WOT
C03C46,C-FWVL,C-WVL
C03C87,C-FWXY,C-WXY
C03C99,C-FWYQ,C-WYQ
C03D26,C-FXEB,C-XEB
C0407A,C-FYKV,C-YKV
C040C4,C-FYNR,C-YNR
C04388,C-FZOX,C-ZOX
C04398,C-FZPN,C-ZPN
C043F4,C-FZTB,C-ZTB
C043FF,C-FZTM,C-ZTM
C0447A,C-FZYF,C-ZYF
C00034,C-FABZ,C-ABZ
C00164,C-FANR,C-ANR
C0034A,C-FBGJ,C-BGJ
C00391,C-FBJC,C-BJC
C0048E,C-FBSV,C-BSV
C00508,C-FBXN,C-BXN
C00579,C-FCBW,C-CBW
C00644,C-FCJR,C-CJR
C007A4,C-FCXF,C-CXF
C0094C,C-FDNN,C-DNN
C0098D,C-FDQA,C-DQA
C00A4E,C-FDXL,C-DXL
C00A89,C-FDZS,C-DZS
C00BA4,C-FEKP,C-EKP
C00E28,C-FFJJ,C-FJJ
C00FA4,C-FFXZ,C-FXZ
C0108C,C-FGGX,C-GGX
C01337,C-FHHE,C-HHE
C01362,C-FHIV,C-HIV
C0156C,C-FICX,C-ICX
C0157F,C-FIDQ,C-IDQ
C01592,C-FIEJ,C-IEJ
C01654,C-FILV,C-ILV
C01740,C-FIUX,C-IUX
C018F9,C-FJLW,C-JLW
C01900,C-FJMD,C-JMD
C0194E,C-FJPD,C-JPD
C01AD1,C-FKEA,C-KEA
C01D3B,C-FLBU,C-LBU
C01D80,C-FLEL,C-LEL
C021E9,C-FMVW,C-MVW
C02426,C-FNRX,C-NRX
C025A2,C-FOGN,C-OGN
C025F4,C-FOJR,C-OJR
C02869,C-FPHW,C-PHW
C02964,C-FPRN,C-PRN
C02990,C-FPTF,C-PTF
C02D08,C-FRBJ,C-RBJ
C02E2D,C-FRMQ,C-RMQ
C02E95,C-FRQQ,C-RQQ
C02EB0,C-FRRR,C-RRR
C0306A,C-FSIR,C-SIR
C03108,C-FSOT,C-SOT
C0317A,C-FSTD,C-STD
C031A9,C-FSUY,C-SUY
C0322B,C-FSZY,C-SZY
C0329D,C-FTEI,C-TEI
C033A1,C-FTOI,C-TOI
C034A8,C-FTYL,C-TYL
C0356E,C-FUGB,C-UGB
C035D5,C-FUKA,C-UKA
C036C9,C-FUTK,C-UTK
C037E9,C-FVEM,C-VEM
C03C4A,C-FWVP,C-WVP
C03C7E,C-FWXP,C-WXP
C03C8D,C-FWYE,C-WYE
C03DFF,C-FXMK,C-XMK
C03E6B,C-FXQO,C-XQO
C0401C,C-FYHF,C-YHF
C040F3,C-FYPM,C-YPM
C04106,C-FYQF,C-YQF
C04286,C-FZEZ,C-ZEZ
C042C3,C-FZHI,C-ZHI
C0436A,C-FZNT,C-ZNT
C00160,C-FANN,C-ANN
C0033E,C-FBFX,C-BFX
C008FF,C-FDKO,C-DKO
C00937,C-FDMS,C-DMS
C009DF,C-FDTE,C-DTE
C00B3B,C-FEGO,C-EGO
C00C09,C-FEOM,C-EOM
C00C5C,C-FERR,C-ERR
C00D2D,C-FEZS,C-EZS
C00D9A,C-FFDX,C-FDX
C00EF9,C-FFRK,C-FRK
C011DB,C-FGTU,C-GTU
C011E6,C-FGUF,C-GUF
C012A4,C-FHBN,C-HBN
C01304,C-FHFF,C-HFF
C0142A,C-FHQN,C-HQN
C014A4,C-FHVF,C-HVF
C01521,C-FIAA,C-IAA
C016A7,C-FIPA,C-IPA
C016FE,C-FISJ,C-ISJ
C019CB,C-FJTY,C-JTY
C01E54,C-FLMP,C-LMP
C01E5C,C-FLMX,C-LMX
C01F24,C-FLUP,C-LUP
C0201A,C-FMEB,C-MEB
C021EF,C-FMWC,C-MWC
C0266F,C-FOOK,C-OOK
C02740,C-FOWL,C-OWL
C027F1,C-FPDG,C-PDG
C02C2B,C-FQSW,C-QSW
C02D48,C-FRDV,C-RDV
C02D90,C-FRGP,C-RGP
C02E7E,C-FRPT,C-RPT
C02EF7,C-FRUK,C-RUK
C02F17,C-FRVQ,C-RVQ
C03036,C-FSGR,C-SGR
C030B6,C-FSLP,C-SLP
C034C0,C-FTZJ,C-TZJ
C035D0,C-FUJV,C-UJV
C03818,C-FVGH,C-VGH
C0397B,C-FVTY,C-VTY
C03A4E,C-FWCB,C-WCB
C03AD8,C-FWHJ,C-WHJ
C03CF6,C-FXCF,C-XCF
C03D04,C-FXCT,C-XCT
C03D51,C-FXFS,C-XFS
C03F49,C-FXZC,C-XZC
C040E2,C-FYOV,C-YOV
C0420A,C-FZAF,C-ZAF
C04232,C-FZBT,C-ZBT
C04302,C-FZJT,C-ZJT
C04322,C-FZKZ,C-ZKZ
C00060,C-FADR,C-ADR
C00137,C-FALY,C-ALY
C00244,C-FAWH,C-AWH
C0026C,C-FAXV,C-AXV
C003A1,C-FBJS,C-BJS
C003FB,C-FBNE,C-BNE
C0053F,C-FBZQ,C-BZQ
C00546,C-FBZX,C-BZX
C005AC,C-FCDV,C-CDV
C0069E,C-FCND,C-CND
C00779,C-FCVO,C-CVO
C0087E,C-FDFP,C-DFP
C00908,C-FDKX,C-DKX
C009A1,C-FDQU,C-DQU
C00A08,C-FDUT,C-DUT
C00A17,C-FDVI,C-DVI
C00AC3,C-FEBY,C-EBY
C00B77,C-FEIW,C-EIW
C00CFA,C-FEXT,C-EXT
C00D5C,C-FFBN,C-FBN
C00A57,C-FXDU,C-FDXU
C00FA0,C-FFXV,C-FXV
C0107F,C-FGGK,C-GGK
C01160,C-FGPB,C-GPB
C083E8,C-GYXT,C-GXYT
C012BF,C-FHCO,C-HCO
C0132C,C-FHGT,C-HGT
C0143D,C-FHRG,C-HRG
C01446,C-FHRP,C-HRP
C014F0,C-FHYD,C-HYD
C015CD,C-FIGQ,C-IGQ
C01643,C-FILE,C-ILE
C016CB,C-FIQK,C-IQK
C016FA,C-FISF,C-ISF
C0179E,C-FIYN,C-IYN
C0181D,C-FJDK,C-JDK
C018BB,C-FJJM,C-JJM
C0194A,C-FJOZ,C-JOZ
C01951,C-FJPG,C-JPG
C01A8C,C-FKBJ,C-KBJ
C01C7D,C-FKUM,C-KUM
C01C9E,C-FKVT,C-KVT
C01D52,C-FLCR,C-LCR
C01E9F,C-FLPM,C-LPM
C02030,C-FMEX,C-MEX
C0216F,C-FMRE,C-MRE
C0224B,C-FMZQ,C-MZQ
C023B0,C-FNNJ,C-NNJ
C024F4,C-FNZV,C-NZV
C025E3,C-FOJA,C-OJA
C026D4,C-FOSH,C-OSH
C02733,C-FOVY,C-OVY
C02BD8,C-FQPR,C-QPR
C02C82,C-FQWF,C-QWF
C02DBA,C-FRIF,C-RIF
C02E2C,C-FRMP,C-RMP
C02E63,C-FROS,C-ROS
C030A3,C-FSKW,C-SKW
C030D6,C-FSMV,C-SMV
C031A2,C-FSUR,C-SUR
C0346A,C-FTWB,C-TWB
C0365D,C-FUPG,C-UPG
C0382B,C-FVHA,C-VHA
C03850,C-FVIL,C-VIL
C03883,C-FVKK,C-VKK
C0390B,C-FVPQ,C-VPQ
C03924,C-FVQP,C-VQP
C03978,C-FVTV,C-VTV
C03995,C-FVUY,C-VUY
C039B6,C-FVWF,C-VWF
C03A36,C-FWBD,C-WBD
C03BA6,C-FWPH,C-WPH
C03C95,C-FWYM,C-WYM
C03D02,C-FXCR,C-XCR
C03D3D,C-FXEY,C-XEY
C03FB5,C-FYDG,C-YDG
C040EE,C-FYPH,C-YPH
C04241,C-FZCI,C-ZCI
C042AA,C-FZGJ,C-ZGJ
C042FC,C-FZJN,C-ZJN
C04431,C-FZVK,C-ZVK
C0000E,C-FAAN,C-AAN
C0001B,C-FABA,C-ABA
C000AE,C-FAGR,C-AGR
C000DA,C-FAIJ,C-AIJ
C000E5,C-FAIU,C-AIU
C00260,C-FAXJ,C-AXJ
C00277,C-FAYG,C-AYG
C00284,C-FAYT,C-AYT
C004FB,C-FBXA,C-BXA
C005E1,C-FCFW,C-CFW
C00765,C-FCUU,C-CUU
C008C7,C-FDIK,C-DIK
C008D4,C-FDIX,C-DIX
C00A54,C-FDXR,C-DXR
C00B83,C-FEJI,C-EJI
C00BAD,C-FEKY,C-EKY
C00C05,C-FEOI,C-EOI
C00C08,C-FEOL,C-EOL
C00D60,C-FFBR,C-FBR
C00EDE,C-FFQJ,C-FQJ
C00F5A,C-FFVD,C-FVD
C0100E,C-FGCB,C-GCB
C05067,C05067,C-GELQ
C05086,C05086,C-GEMV
C010ED,C-FGKQ,C-GKQ
C01105,C-FGLO,C-GLO
C01144,C-FGNZ,C-GNZ
C011E1,C-FGUA,C-GUA
C012D3,C-FHDI,C-HDI
C013A5,C-FHLK,C-HLK
C01457,C-FHSG,C-HSG
C014AE,C-FHVP,C-HVP
C01579,C-FIDK,C-IDK
C0161A,C-FIJP,C-IJP
C01718,C-FITJ,C-ITJ
C018A6,C-FJIR,C-JIR
C01923,C-FJNM,C-JNM
C0197D,C-FJQY,C-JQY
C019A3,C-FJSK,C-JSK
C019F7,C-FJVQ,C-JVQ
C01ABC,C-FKDF,C-KDF
C01B02,C-FKFX,C-KFX
C01C25,C-FKRC,C-KRC
C01D84,C-FLEP,C-LEP
C01E80,C-FLOH,C-LOH
C01F55,C-FLWM,C-LWM
C01F77,C-FLXU,C-LXU
C01F7C,C-FLXZ,C-LXZ
C020C2,C-FMKN,C-MKN
C020EF,C-FMMG,C-MMG
C021F7,C-FMWK,C-MWK
C023E3,C-FNPI,C-NPI
C027CC,C-FPBV,C-PBV
C028F3,C-FPNE,C-PNE
C029C2,C-FPVD,C-PVD
C02BB3,C-FQOG,C-QOG
C02C07,C-FQRM,C-QRM
C02D67,C-FRFA,C-RFA
C02EC5,C-FRSM,C-RSM
C02EF1,C-FRUE,C-RUE
C03014,C-FSFJ,C-SFJ
C0311D,C-FSPO,C-SPO
C034A4,C-FTYH,C-TYH
C036AB,C-FUSG,C-USG
C038ED,C-FVOM,C-VOM
C039CF,C-FVXE,C-VXE
C039F3,C-FVYO,C-VYO
C03AA8,C-FWFN,C-WFN
C03ADA,C-FWHL,C-WHL
C03C88,C-FWXZ,C-WXZ
C03C94,C-FWYL,C-WYL
C03DE6,C-FXLL,C-XLL
C03F92,C-FYBX,C-YBX
C040DC,C-FYOP,C-YOP
C041F8,C-FYZN,C-YZN
C04354,C-FZMX,C-ZMX
C043B5,C-FZQQ,C-ZQQ
C04424,C-FZUX,C-ZUX
C002D6,C-FBBX,C-BBX
C00437,C-FBPM,C-BPM
C00504,C-FBXJ,C-BXJ
C0063F,C-FCJM,C-CJM
C00758,C-FCUH,C-CUH
C0079E,C-FCWZ,C-CWZ
C0081F,C-FDBY,C-DBY
C00A72,C-FDYV,C-DYV
C00B44,C-FEGX,C-EGX
C00E56,C-FFLD,C-FLD
C00F22,C-FFSZ,C-FSZ
C00FAA,C-FFYF,C-FYF
C00FDF,C-FGAG,C-GAG
C01029,C-FGDC,C-GDC
C011A3,C-FGRQ,C-GRQ
C01289,C-FHAM,C-HAM
C0154D,C-FIBS,C-IBS
C015E7,C-FIHQ,C-IHQ
C01835,C-FJEI,C-JEI
C01A89,C-FKBG,C-KBG
C01B3A,C-FKIB,C-KIB
C01BA8,C-FKMH,C-KMH
C01C57,C-FKTA,C-KTA
C01E01,C-FLJK,C-LJK
C01E6B,C-FLNM,C-LNM
C02033,C-FMFA,C-MFA
C0212C,C-FMOP,C-MOP
C02140,C-FMPJ,C-MPJ
C021E1,C-FMVO,C-MVO
C02387,C-FNLU,C-NLU
C025CE,C-FOIF,C-OIF
C026ED,C-FOTG,C-OTG
C027FB,C-FPDQ,C-PDQ
C02811,C-FPEM,C-PEM
C029CA,C-FPVL,C-PVL
C02B67,C-FQLI,C-QLI
C02C85,C-FQWI,C-QWI
C02CFB,C-FRAW,C-RAW
C02D0B,C-FRBM,C-RBM
C02DBD,C-FRII,C-RII
C03015,C-FSFK,C-SFK
C0317F,C-FSTI,C-STI
C0325F,C-FTBY,C-TBY
C03347,C-FTKW,C-TKW
C0341F,C-FTTE,C-TTE
C03481,C-FTWY,C-TWY
C034C3,C-FTZM,C-TZM
C03681,C-FUQQ,C-UQQ
C036D5,C-FUTW,C-UTW
C038C4,C-FVMX,C-VMX
C03ABE,C-FWGJ,C-WGJ
C03B6D,C-FWNC,C-WNC
C03DBF,C-FXJY,C-XJY
C03DD2,C-FXKR,C-XKR
C03DF3,C-FXLY,C-XLY
C03DF6,C-FXMB,C-XMB
C03E65,C-FXQI,C-XQI
C03E68,C-FXQL,C-XQL
C04050,C-FYJF,C-YJF
C040E6,C-FYOZ,C-YOZ
C040F0,C-FYPJ,C-YPJ
C040F7,C-FYPQ,C-YPQ
C04158,C-FYTJ,C-YTJ
C04195,C-FYVS,C-YVS
C04226,C-FZBH,C-ZBH
C043C1,C-FZRC,C-ZRC
C00226,C-FAVD,C-AVD
C0025C,C-FAXF,C-AXF
C00493,C-FBTA,C-BTA
C00784,C-FCVZ,C-CVZ
C007F8,C-FDAL,C-DAL
C00C45,C-FEQU,C-EQU
C00E1A,C-FFIV,C-FIV
C00E2E,C-FFJP,C-FJP
C00E71,C-FFME,C-FME
C01044,C-FGED,C-GED
C01055,C-FGEU,C-GEU
C010C4,C-FGJB,C-GJB
C010CA,C-FGJH,C-GJH
C0115F,C-FGPA,C-GPA
C01263,C-FGZA,C-GZA
C0129F,C-FHBI,C-HBI
C012A3,C-FHBM,C-HBM
C0134A,C-FHHX,C-HHX
C0144B,C-FHRU,C-HRU
C015DC,C-FIHF,C-IHF
C0176C,C-FIWP,C-IWP
C01844,C-FJEX,C-JEX
C01866,C-FJGF,C-JGF
C019D8,C-FJUL,C-JUL
C01C37,C-FKRU,C-KRU
C01CDD,C-FKYE,C-KYE
C01DB9,C-FLGQ,C-LGQ
C02081,C-FMIA,C-MIA
C021D7,C-FMVE,C-MVE
C0220B,C-FMXE,C-MXE
C022A9,C-FNDG,C-NDG
C0236A,C-FNKR,C-NKR
C023C4,C-FNOD,C-NOD
C0243B,C-FNSS,C-NSS
C027BD,C-FPBG,C-PBG
C02A79,C-FQCE,C-QCE
C02B0C,C-FQHV,C-QHV
C02B0E,C-FQHX,C-QHX
C02B19,C-FQII,C-QII
C02B83,C-FQMK,C-QMK
C02C2D,C-FQSY,C-QSY
C02CCF,C-FQZE,C-QZE
C02CFD,C-FRAY,C-RAY
C02D9C,C-FRHB,C-RHB
C02E6D,C-FRPC,C-RPC
C02EB3,C-FRRU,C-RRU
C02EDD,C-FRTK,C-RTK
C02F0E,C-FRVH,C-RVH
C0309C,C-FSKP,C-SKP
C031E2,C-FSXD,C-SXD
C03263,C-FTCC,C-TCC
C0328C,C-FTDR,C-TDR
C032C8,C-FTFZ,C-TFZ
C033DD,C-FTQQ,C-TQQ
C033F0,C-FTRJ,C-TRJ
C034A3,C-FTYG,C-TYG
C036CB,C-FUTM,C-UTM
C036F0,C-FUUX,C-UUX
C03807,C-FVFQ,C-VFQ
C03837,C-FVHM,C-VHM
C0385E,C-FVIZ,C-VIZ
C03878,C-FVJZ,C-VJZ
C038E2,C-FVOB,C-VOB
C0394A,C-FVSB,C-VSB
C0395B,C-FVSS,C-VSS
C03AD3,C-FWHE,C-WHE
C03AEC,C-FWID,C-WID
C03B4A,C-FWLT,C-WLT
C03CD4,C-FXAX,C-XAX
C03DD3,C-FXKS,C-XKS
C03FC0,C-FYDR,C-YDR
C03FF9,C-FYFW,C-YFW
C0406C,C-FYKH,C-YKH
C04094,C-FYLV,C-YLV
C040D1,C-FYOE,C-YOE
C04182,C-FYUZ,C-YUZ
C0431A,C-FZKR,C-ZKR
C002D7,C-FBBY,C-BBY
C003E4,C-FBMH,C-BMH
C003F3,C-FBMW,C-BMW
C0040C,C-FBNV,C-BNV
C00423,C-FBOS,C-BOS
C004C5,C-FBUY,C-BUY
C0056F,C-FCBM,C-CBM
C00697,C-FCMW,C-CMW
C0085D,C-FDEI,C-DEI
C0088E,C-FDGF,C-DGF
C0091B,C-FDLQ,C-DLQ
C00974,C-FDPB,C-DPB
C00A21,C-FDVS,C-DVS
C00AC9,C-FECE,C-ECE
C00AEB,C-FEDM,C-EDM
C00BE1,C-FEMY,C-EMY
C00C07,C-FEOK,C-EOK
C00DAA,C-FFEN,C-FEN
C00E70,C-FFMD,C-FMD
C00ECA,C-FFPP,C-FPP
C00ED4,C-FFPZ,C-FPZ
C00F53,C-FFUW,C-FUW
C01008,C-FGBV,C-GBV
C0100C,C-FGBZ,C-GBZ
C011F7,C-FGUW,C-GUW
C01201,C-FGVG,C-GVG
C0124A,C-FGYB,C-GYB
C0124F,C-FGYG,C-GYG
C015F5,C-FIIE,C-IIE
C016F9,C-FISE,C-ISE
C01720,C-FITR,C-ITR
C01797,C-FIYG,C-IYG
C0198D,C-FJRO,C-JRO
C019ED,C-FJVG,C-JVG
C01DC1,C-FLGY,C-LGY
C01DC9,C-FLHG,C-LHG
C01EBF,C-FLQS,C-LQS
C02053,C-FMGG,C-MGG
C02091,C-FMIQ,C-MIQ
C020F8,C-FMMP,C-MMP
C0216B,C-FMRA,C-MRA
C0236D,C-FNKU,C-NKU
C026F2,C-FOTL,C-OTL
C0272B,C-FOVQ,C-OVQ
C02845,C-FPGM,C-PGM
C0291A,C-FPOR,C-POR
C02A23,C-FPYW,C-PYW
C02A94,C-FQDF,C-QDF
C02B6E,C-FQLP,C-QLP
C02BC3,C-FQOW,C-QOW
C02C9F,C-FQXI,C-QXI
C02E8B,C-FRQG,C-RQG
C02EA7,C-FRRI,C-RRI
C02EA9,C-FRRK,C-RRK
C030A1,C-FSKU,C-SKU
C0322D,C-FTAA,C-TAA
C0328D,C-FTDS,C-TDS
C032C1,C-FTFS,C-TFS
C0333A,C-FTKJ,C-TKJ
C0356C,C-FUFZ,C-UFZ
C03603,C-FULU,C-ULU
C03633,C-FUNQ,C-UNQ
C03657,C-FUPA,C-UPA
C0365C,C-FUPF,C-UPF
C03803,C-FVFM,C-VFM
C03833,C-FVHI,C-VHI
C03913,C-FVPY,C-VPY
C039CB,C-FVXA,C-VXA
C03C08,C-FWTB,C-WTB
C03C83,C-FWXU,C-WXU
C03C8A,C-FWYB,C-WYB
C03F44,C-FXYX,C-XYX
C03FE5,C-FYFC,C-YFC
C04165,C-FYTW,C-YTW
C041F2,C-FYZH,C-YZH
C0420E,C-FZAJ,C-ZAJ
C04385,C-FZOU,C-ZOU
C04498,C-FZZJ,C-ZZJ
C00025,C-FABK,C-ABK
C000D5,C-FAIE,C-AIE
C002D8,C-FBBZ,C-BBZ
C00481,C-FBSI,C-BSI
C0048C,C-FBST,C-BST
C005CB,C-FCFA,C-CFA
C006F6,C-FCQN,C-CQN
C0076D,C-FCVC,C-CVC
C0078A,C-FCWF,C-CWF
C0083C,C-FDDB,C-DDB
C009FF,C-FDUK,C-DUK
C00B67,C-FEIG,C-EIG
C00E57,C-FFLE,C-FLE
C01262,C-FGYZ,C-GYZ
C0133D,C-FHHK,C-HHK
C01366,C-FHIZ,C-HIZ
C01482,C-FHTX,C-HTX
C0160F,C-FIJE,C-IJE
C0166E,C-FIMV,C-IMV
C017A8,C-FIYX,C-IYX
C01813,C-FJDA,C-JDA
C0187D,C-FJHC,C-JHC
C01C3F,C-FKSC,C-KSC
C01C51,C-FKSU,C-KSU
C01D7F,C-FLEK,C-LEK
C01F22,C-FLUN,C-LUN
C02225,C-FMYE,C-MYE
C02349,C-FNJK,C-NJK
C02362,C-FNKJ,C-NKJ
C0263C,C-FOML,C-OML
C026A7,C-FOQO,C-OQO
C026BD,C-FORK,C-ORK
C02AB9,C-FQEQ,C-QEQ
C02C0A,C-FQRP,C-QRP
C02D25,C-FRCM,C-RCM
C02D5B,C-FREO,C-REO
C02D92,C-FRGR,C-RGR
C02EDE,C-FRTL,C-RTL
C0303A,C-FSGV,C-SGV
C030DA,C-FSMZ,C-SMZ
C030F6,C-FSOB,C-SOB
C0313A,C-FSQR,C-SQR
C031CF,C-FSWK,C-SWK
C032C0,C-FTFR,C-TFR
C03332,C-FTKB,C-TKB
C033BC,C-FTPJ,C-TPJ
