icao_address,mictronics_reg,adsbx_reg
C016B2,C-FIPL,C-IPL
C01827,C-FJDU,C-JDU
C01994,C-FJRV,C-JRV
C01A0E,C-FJWN,C-JWN
C01A77,C-FKAO,C-KAO
C01BB0,C-FKMP,C-KMP
C01BB1,C-FKMQ,C-KMQ
C01C2A,C-FKRH,C-KRH
C01E44,C-FLLZ,C-LLZ
C01F51,C-FLWI,C-LWI
C0234A,C-FNJL,C-NJL
C023E2,C-FNPH,C-NPH
C025B0,C-FOHB,C-OHB
C027E4,C-FPCT,C-PCT
C0281F,C-FPFA,C-PFA
C02853,C-FPHA,C-PHA
C02874,C-FPIH,C-PIH
C029C4,C-FPVF,C-PVF
C02CE0,C-FQZV,C-QZV
C02D16,C-FRBX,C-RBX
C02E0C,C-FRLJ,C-RLJ
C02EEA,C-FRTX,C-RTX
C0306C,C-FSIT,C-SIT
C030B9,C-FSLS,C-SLS
C03162,C-FSSF,C-SSF
C03184,C-FSTN,C-STN
C0320A,C-FSYR,C-SYR
C0324A,C-FTBD,C-TBD
C033D6,C-FTQJ,C-TQJ
C03455,C-FTVG,C-TVG
C03658,C-FUPB,C-UPB
C0375A,C-FUYZ,C-UYZ
C0387D,C-FVKE,C-VKE
C03944,C-FVRV,C-VRV
C0395E,C-FVSV,C-VSV
C03CEB,C-FXBU,C-XBU
C03D76,C-FXHD,C-XHD
C03EB4,C-FXTJ,C-XTJ
C03F83,C-FYBI,C-YBI
C04061,C-FYJW,C-YJW
C04063,C-FYJY,C-YJY
C040F8,C-FYPR,C-YPR
C04169,C-FYUA,C-YUA
C0416F,C-FYUG,C-YUG
C04360,C-FZNJ,C-ZNJ
C000B4,C-FAGX,C-AGX
C00193,C-FAPM,C-APM
C0019F,C-FAPY,C-APY
C0029A,C-FAZP,C-AZP
C00420,C-FBOP,C-BOP
C00566,C-FCBD,C-CBD
C005DC,C-FCFR,C-CFR
C0062F,C-FCIW,C-CIW
C0081B,C-FDBU,C-DBU
C00A7F,C-FDZI,C-DZI
C00AA5,C-FEAU,C-EAU
C00B7F,C-FEJE,C-EJE
C00BCA,C-FEMB,C-EMB
C00BED,C-FENK,C-ENK
C00CD3,C-FEWG,C-EWG
C00D04,C-FEYD,C-EYD
C00D31,C-FEZW,C-EZW
C00D39,C-FFAE,C-FAE
C00D52,C-FFBD,C-FBD
C00DA5,C-FFEI,C-FEI
C00DA6,C-FFEJ,C-FEJ
C00E19,C-FFIU,C-FIU
C00E38,C-FFJZ,C-FJZ
C010DD,C-FGKA,C-GKA
C01147,C-FGOC,C-GOC
C011BD,C-FGSQ,C-GSQ
C01221,C-FGWM,C-GWM
C01288,C-FHAL,C-HAL
C0138E,C-FHKN,C-HKN
C014F3,C-FHYG,C-HYG
C015DD,C-FIHG,C-IHG
C0182F,C-FJEC,C-JEC
C0191C,C-FJNF,C-JNF
C0191E,C-FJNH,C-JNH
C019FB,C-FJVU,C-JVU
C01C04,C-FKPV,C-KPV
C01EE8,C-FLSH,C-LSH
C01F49,C-FLWA,C-LWA
C02003,C-FMDE,C-MDE
C020AC,C-FMJR,C-MJR
C02242,C-FMZH,C-MZH
C02440,C-FNSX,C-NSX
C02442,C-FNSZ,C-NSZ
C02515,C-FOBC,C-OBC
C025A5,C-FOGQ,C-OGQ
C025E7,C-FOJE,C-OJE
C02674,C-FOOP,C-OOP
C02784,C-FOZB,C-OZB
C02924,C-FPPB,C-PPB
C02974,C-FPSD,C-PSD
C02A1A,C-FPYN,C-PYN
C02A22,C-FPYV,C-PYV
C02B1E,C-FQIN,C-QIN
C02B48,C-FQKD,C-QKD
C02CC1,C-FQYQ,C-QYQ
C02DD2,C-FRJD,C-RJD
C02E81,C-FRPW,C-RPW
C02EF4,C-FRUH,C-RUH
C02F07,C-FRVA,C-RVA
C02FAB,C-FSBI,C-SBI
C02FCF,C-FSCS,C-SCS
C0313B,C-FSQS,C-SQS
C032BC,C-FTFN,C-TFN
C03418,C-FTSX,C-TSX
C03515,C-FUCQ,C-UCQ
C036F6,C-FUVD,C-UVD
C037CE,C-FVDL,C-VDL
C03897,C-FVLE,C-VLE
C03943,C-FVRU,C-VRU
C039D0,C-FVXF,C-VXF
C03A47,C-FWBU,C-WBU
C03A81,C-FWEA,C-WEA
C03C50,C-FWVV,C-WVV
C03D99,C-FXIM,C-XIM
C03F2C,C-FXXZ,C-XXZ
C03FCB,C-FYEC,C-YEC
C03FDB,C-FYES,C-YES
C04080,C-FYLB,C-YLB
C0439E,C-FZPT,C-ZPT
C043A4,C-FZPZ,C-ZPZ
C04422,C-FZUV,C-ZUV
C0001E,C-FABD,C-ABD
C00073,C-FAEK,C-AEK
C003CD,C-FBLK,C-BLK
C00476,C-FBRX,C-BRX
C00651,C-FCKE,C-CKE
C00661,C-FCKU,C-CKU
C00752,C-FCUB,C-CUB
C007CA,C-FCYR,C-CYR
C00845,C-FDDK,C-DDK
C0087C,C-FDFN,C-DFN
C0098E,C-FDQB,C-DQB
C009A4,C-FDQX,C-DQX
C009E6,C-FDTL,C-DTL
C00A39,C-FDWQ,C-DWQ
C00B2B,C-FEFY,C-EFY
C00B5C,C-FEHV,C-EHV
C00BEF,C-FENM,C-ENM
C00CC2,C-FEVP,C-EVP
C00D33,C-FEZY,C-EZY
C00EAD,C-FFOM,C-FOM
C03964,C-FVTB,C-VTB
C01084,C-FGGP,C-GGP
C01194,C-FGRB,C-GRB
C0139C,C-FHLB,C-HLB
C014E6,C-FHXT,C-HXT
C016C1,C-FIQA,C-IQA
C0177F,C-FIXI,C-IXI
C01811,C-FJCY,C-JCY
C0183B,C-FJEO,C-JEO
C018CB,C-FJKC,C-JKC
C018EE,C-FJLL,C-JLL
C01937,C-FJOG,C-JOG
C01A3C,C-FJYH,C-JYH
C01ADB,C-FKEK,C-KEK
C01EEF,C-FLSO,C-LSO
C01F21,C-FLUM,C-LUM
C01FA7,C-FLZQ,C-LZQ
C020A4,C-FMJJ,C-MJJ
C022D5,C-FNEY,C-NEY
C02353,C-FNJU,C-NJU
C02360,C-FNKH,C-NKH
C02B8A,C-FQMR,C-QMR
C02C2A,C-FQSV,C-QSV
C02D11,C-FRBS,C-RBS
C02D77,C-FRFQ,C-RFQ
C03138,C-FSQP,C-SQP
C033DB,C-FTQO,C-TQO
C033DF,C-FTQS,C-TQS
C033E2,C-FTQV,C-TQV
C0346E,C-FTWF,C-TWF
C0352A,C-FUDL,C-UDL
C035BE,C-FUJD,C-UJD
C036BE,C-FUSZ,C-USZ
C0386C,C-FVJN,C-VJN
C03B42,C-FWLL,C-WLL
C03D96,C-FXIJ,C-XIJ
C03E1B,C-FXNM,C-XNM
C03E2F,C-FXOG,C-XOG
C03F4D,C-FXZG,C-XZG
C04225,C-FZBG,C-ZBG
C04450,C-FZWP,C-ZWP
C0448A,C-FZYV,C-ZYV
C0001D,C-FABC,C-ABC
C0016F,C-FAOC,C-AOC
C0033D,C-FBFW,C-BFW
C00352,C-FBGR,C-BGR
C003AE,C-FBKF,C-BKF
C004B3,C-FBUG,C-BUG
C004BA,C-FBUN,C-BUN
C0052B,C-FBYW,C-BYW
C00535,C-FBZG,C-BZG
C00592,C-FCCV,C-CCV
C00607,C-FCHI,C-CHI
C006C9,C-FCOU,C-COU
C006FD,C-FCQU,C-CQU
C00790,C-FCWL,C-CWL
C007DD,C-FCZK,C-CZK
C007FC,C-FDAP,C-DAP
C00A7C,C-FDZF,C-DZF
C00B14,C-FEFB,C-EFB
C00B46,C-FEGZ,C-EGZ
C00C06,C-FEOJ,C-EOJ
C00C13,C-FEOW,C-EOW
C00C69,C-FESE,C-ESE
C0315A,C-FXRX,C-FSRX
C00FBA,C-FFYV,C-FYV
C01058,C-FGEX,C-GEX
C03656,C-FUOZ,C-UOZ
C0115C,C-FGOX,C-GOX
C01172,C-FGPT,C-GPT
C011B2,C-FGSF,C-GSF
C01627,C-FIKC,C-IKC
C01717,C-FITI,C-ITI
C0178A,C-FIXT,C-IXT
C01803,C-FJCK,C-JCK
C0180D,C-FJCU,C-JCU
